Life_group,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Zinc_mg,Copper_mg,Manganese_mg,Selenium_mcg,Vit_C_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,Panto_Acid_mg,Vit_B6_mg,Folate_Tot_mcg,Choline_Tot_mg,Vit_B12_mcg,Vit_A_IU,Vit_E_mg,Vit_K_mcg
mu30,1000,8,400,700,11,0.900,2.3,55,90,1.2,1.3,16,5,1.3,400,550,2.4,3000.6,15,120
mu50,1000,8,420,700,11,0.900,2.3,55,90,1.2,1.3,16,5,1.3,400,550,2.4,3000.6,15,120
mu70,1000,8,420,700,11,0.900,2.3,55,90,1.2,1.3,16,5,1.7,400,550,2.4,3000.6,15,120
ma70,1200,8,420,700,11,0.900,2.3,55,90,1.2,1.3,16,5,1.7,400,550,2.4,3000.6,15,120
fu30,1000,18,310,700,8,0.900,1.8,55,75,1.1,1.1,14,5,1.3,400,425,2.4,2333.8,15,90
fu50,1000,18,320,700,8,0.900,1.8,55,75,1.1,1.1,14,5,1.3,400,425,2.4,2333.8,15,90
fu70,1200,8,320,700,8,0.900,1.8,55,75,1.1,1.1,14,5,1.5,400,425,2.4,2333.8,15,90
fa70,1200,8,320,700,8,0.900,1.8,55,75,1.1,1.1,14,5,1.5,400,425,2.4,2333.8,15,90
pu30,1000,27,350,700,11,1.000,2,60,85,1.4,1.4,18,6,1.9,600,450,2.6,2567.18,15,90
pu50,1000,27,360,700,11,1.000,2,60,85,1.4,1.4,18,6,1.9,600,450,2.6,2567.18,15,90
lu30,1000,9,310,700,12,1.300,2.6,70,120,1.4,1.6,17,7,2,500,550,2.8,4334.2,19,90
lu50,1000,9,320,700,12,1.300,2.6,70,120,1.4,1.6,17,7,2,500,550,2.8,4334.2,19,90