NDB_No,Shrt_Desc,Water_g,Energ_Kcal,Protein_g,Lipid_Tot_g,Ash_g,Carbohydrt_g,Fiber_TD_g,Sugar_Tot_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mg,Manganese_mg,Selenium_mcg,Vit_C_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,Panto_Acid_mg,Vit_B6_mg,Folate_Tot_mcg,Folic_Acid_mcg,Food_Folate_mcg,Folate_DFE_mcg,Choline_Tot_mg,Vit_B12_mcg,Vit_A_IU,Vit_A_RAE,Retinol_mcg,Alpha_Carot_mcg,Beta_Carot_mcg,Beta_Crypt_mcg,Lycopene_mcg,Lut_and_Zea_mcg,Vit_E_mg,Vit_D_mcg,Vit_D_IU,Vit_K_mcg,FA_Sat_g,FA_Mono_g,FA_Poly_g,Cholestrl_mg,GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
11353,"POTATOES,RUSSET,FLESH & SKN,RAW",78.58,79,2.14,0.08,1.13,18.07,1.3,0.62,13,0.86,23,55,417,5,0.29,0.103,0.157,0.4,5.7,0.082,0.033,1.035,0.301,0.345,14,0,14,14,12.6,0.0,1,0,0,0,0,0,0,5,0.01,0,0,1.8,0.026,0.002,0.043,0,75,".5 cup, diced",369,"1 potato, large (3"" to 4-1/4"" dia)",25
11354,"POTATOES,WHITE,FLESH & SKN,RAW",81.58,69,1.68,0.1,0.94,15.71,2.4,1.15,9,0.52,21,62,407,16,0.29,0.116,0.145,0.3,9.1,0.071,0.034,1.066,0.281,0.203,18,0,18,18,11,0.0,8,0,0,0,5,0,0,13,0.01,0,0,1.6,0.026,0.002,0.043,0,75,".5 cup, diced",369,"1 large,  (3"" to 4-1/4"" dia.)",25
11355,"POTATOES,RED,FLESH & SKN,RAW",80.96,70,1.89,0.14,1.1,15.9,1.7,1.29,10,0.73,22,61,455,18,0.33,0.134,0.141,0.5,8.6,0.081,0.031,1.149,0.279,0.17,18,0,18,18,16.4,0.0,7,0,0,0,4,0,0,21,0.01,0,0,2.9,0.035,0.003,0.059,0,75,".5 cup, diced",369,"1 potato, large (3"" to 4-1/4"" dia)",25
11356,"POTATOES,RUSSET,FLESH & SKN,BKD",74.45,97,2.63,0.13,1.35,21.44,2.3,1.08,18,1.07,30,71,550,14,0.35,0.107,0.228,0.5,8.3,0.067,0.048,1.348,0.38,0.354,26,0,26,26,15,0.0,10,1,0,0,6,0,0,19,0.07,0,0,2,0.032,0.003,0.054,0,299,"1 potato, large (3"" to 4-1/4"" dia.",173,"1 potato, medium (2-1/4"" to 3-1/4"" dia.)",0
11357,"POTATOES,WHITE,FLESH & SKN,BKD",75.43,94,2.1,0.15,1.24,21.08,2.1,1.53,10,0.64,27,75,544,7,0.35,0.127,0.189,0.5,12.6,0.048,0.043,1.528,0.383,0.211,38,0,38,38,14.4,0.0,10,1,0,0,6,0,0,30,0.04,0,0,2.7,0.022,0.002,0.037,0,299,"1 potato, large (3"" to 4-1/4"" dia)",173,"1 potato, medium (2-1/4"" to 3-1/4"" dia)",0
11358,"POTATOES,RED,FLESH & SKN,BKD",76.67,89,2.3,0.15,1.29,19.59,1.8,1.43,9,0.7,28,72,545,12,0.4,0.174,0.173,,12.6,0.072,0.05,1.595,0.341,0.212,27,0,27,27,18.9,0.0,10,1,0,0,6,0,0,27,0.08,0,0,2.8,0.026,0.002,0.043,0,299,"1 potato, large (3"" to 4-1/4"" dia.",173,"1 potato, medium (2-1/4"" to 3-1/4"" dia.)",0
11362,"POTATOES,RAW,SKIN",83.29,58,2.57,0.1,1.61,12.44,2.5,,30,3.24,23,38,413,10,0.35,0.423,0.602,0.3,11.4,0.021,0.038,1.033,0.302,0.239,17,0,17,17,,0.0,0,0,0,,,,,,,0,0,,0.026,0.002,0.043,0,38,1 skin,,,0
11422,"PUMPKIN,RAW",91.6,26,1.0,0.1,0.8,6.5,0.5,2.76,21,0.8,12,44,340,1,0.32,0.127,0.125,0.3,9,0.05,0.11,0.6,0.298,0.061,16,0,16,16,8.2,0.0,8513,426,0,4016,3100,0,0,1500,1.06,0,0,1.1,0.052,0.013,0.005,0,116,"1 cup,  (1"" cubes)",,,30
11429,"RADISHES,RAW",95.27,16,0.68,0.1,0.55,3.4,1.6,1.86,25,0.34,10,20,233,39,0.28,0.05,0.069,0.6,14.8,0.012,0.039,0.254,0.165,0.071,25,0,25,25,6.5,0.0,7,0,0,0,4,0,0,10,0,0,0,1.3,0.032,0.017,0.048,0,116,"1 cup, slices",9,"1 large,  (1"" to 1-1/4"" dia)",10
11430,"RADISHES,ORIENTAL,RAW",94.62,18,0.6,0.1,0.58,4.1,1.6,2.5,27,0.4,16,23,227,21,0.15,0.115,0.038,0.7,22,0.02,0.02,0.2,0.138,0.046,28,0,28,28,7.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.03,0.017,0.045,0,116,"1 cup, slices",338,"1 radish,  (7"" long)",21
11435,"RUTABAGAS,RAW",89.43,37,1.08,0.16,0.71,8.62,2.3,4.46,43,0.44,20,53,305,12,0.24,0.032,0.131,0.7,25,0.09,0.04,0.7,0.16,0.1,21,0,21,21,14.1,0.0,2,0,0,0,1,1,14,19,0.3,0,0,0.3,0.027,0.025,0.088,0,140,"1 cup, cubes",772,1 large,15
11457,"SPINACH,RAW",91.4,23,2.86,0.39,1.72,3.63,2.2,0.42,99,2.71,79,49,558,79,0.53,0.13,0.897,1,28.1,0.078,0.189,0.724,0.065,0.195,194,0,194,194,19.3,0.0,9377,469,0,0,5626,0,0,12198,2.03,0,0,482.9,0.063,0.01,0.165,0,30,1 cup,340,1 bunch,28
11467,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,RAW",94.28,19,1.01,0.27,0.56,3.88,1,2.88,21,0.44,20,32,222,2,0.29,0.092,0.172,0.2,19.3,0.051,0.041,0.448,0.16,0.104,19,0,19,19,7.1,0.0,150,8,0,0,90,0,0,290,0.13,0,0,3.2,0.093,0.013,0.082,0,127,"1 cup, sliced",,,1
11475,"SQUASH,SUMMER,SCALLOP,RAW",94.18,18,1.2,0.2,0.58,3.84,1.2,2.39,19,0.4,23,36,182,1,0.29,0.102,0.157,0.2,18,0.07,0.03,0.6,0.102,0.109,30,0,30,30,7.3,0.0,217,11,0,0,130,0,0,2308,0.13,0,0,3.3,0.041,0.015,0.084,0,130,"1 cup, slices",,,2
11477,"SQUASH,SMMR,ZUCCHINI,INCL SKN,RAW",94.79,17,1.21,0.32,0.58,3.11,1,2.5,16,0.37,18,38,261,8,0.32,0.053,0.177,0.2,17.9,0.045,0.094,0.451,0.204,0.163,24,0,24,24,9.5,0.0,200,10,0,0,120,0,0,2125,0.12,0,0,4.3,0.084,0.011,0.091,0,124,"1 cup, chopped",113,"1 cup, sliced",5
11485,"SQUASH,WNTR,BUTTERNUT,RAW",86.41,45,1.0,0.1,0.8,11.69,2,2.2,48,0.7,34,33,352,4,0.15,0.072,0.202,0.5,21,0.1,0.02,1.2,0.4,0.154,27,0,27,27,,0.0,10630,532,0,834,4226,3471,0,0,1.44,0,0,1.1,0.021,0.007,0.042,0,140,"1 cup, cubes",,,16
11489,"SQUASH,WINTER,HUBBARD,RAW",88.0,40,2.0,0.5,0.8,8.7,3.9,3.95,14,0.4,19,21,320,7,0.13,0.064,0.179,0.5,11,0.07,0.04,0.5,0.4,0.154,16,0,16,16,11.8,0.0,1367,68,0,0,820,0,0,0,0.16,0,0,1.3,0.103,0.037,0.21,0,116,"1 cup, cubes",,,36
11492,"SQUASH,WNTR,SPAGHETTI,RAW",91.6,31,0.64,0.57,0.28,6.91,1.5,2.76,23,0.31,12,12,108,17,0.19,0.037,0.125,0.3,2.1,0.037,0.018,0.95,0.36,0.101,12,0,12,12,8.2,0.0,120,6,0,16,64,0,0,0,0.13,0,0,0.9,0.117,0.042,0.239,0,101,"1 cup, cubes",,,29
11507,"SWEET POTATO,RAW,UNPREP",77.28,86,1.57,0.05,0.99,20.12,3,4.18,30,0.61,25,47,337,55,0.3,0.151,0.258,0.6,2.4,0.078,0.061,0.557,0.8,0.209,11,0,11,11,12.3,0.0,14187,709,0,7,8509,0,0,0,0.26,0,0,1.8,0.018,0.001,0.014,0,133,"1 cup, cubes",130,"1 sweetpotato,  5"" long",28
11527,"TOMATOES,GREEN,RAW",93.0,23,1.2,0.2,0.5,5.1,1.1,4,13,0.51,10,28,204,13,0.07,0.09,0.1,0.4,23.4,0.06,0.04,0.5,0.5,0.081,9,0,9,9,8.6,0.0,642,32,0,78,346,0,0,0,0.38,0,0,10.1,0.028,0.03,0.081,0,180,1 cup,182,1 large,9
11564,"TURNIPS,RAW",91.87,28,0.9,0.1,0.7,6.43,1.8,3.8,30,0.3,11,27,191,67,0.27,0.085,0.134,0.7,21,0.04,0.03,0.4,0.2,0.09,15,0,15,15,11.1,0.0,0,0,0,0,0,0,0,0,0.03,0,0,0.1,0.011,0.006,0.053,0,130,"1 cup, cubes",183,1 large,19
11568,"TURNIP GREENS,RAW",89.67,32,1.5,0.3,1.4,7.13,3.2,0.81,190,1.1,31,42,296,40,0.19,0.35,0.466,1.2,60,0.07,0.1,0.6,0.38,0.263,194,0,194,194,,0.0,11587,579,0,0,6952,0,0,12825,2.86,0,0,251,0.07,0.02,0.12,0,55,"1 cup, chopped",,,30
11591,"WATERCRESS,RAW",95.11,11,2.3,0.1,1.2,1.29,0.5,0.2,120,0.2,21,60,330,41,0.11,0.077,0.244,0.9,43,0.09,0.12,0.2,0.31,0.129,9,0,9,9,9,0.0,3191,160,0,0,1914,0,0,5767,1,0,0,250,0.027,0.008,0.035,0,34,"1 cup, chopped",2.5,1 sprig,8
11601,"YAM,RAW",69.6,118,1.53,0.17,0.82,27.88,4.1,0.5,17,0.54,21,55,816,9,0.24,0.178,0.397,0.7,17.1,0.112,0.032,0.552,0.314,0.293,23,0,23,23,16.5,0.0,138,7,0,0,83,0,0,0,0.35,0,0,2.3,0.037,0.006,0.076,0,150,"1 cup, cubes",,,14
11622,"KALE,SCOTCH,RAW",87.0,42,2.8,0.6,1.28,8.32,1.7,,205,3,88,62,450,70,0.37,0.243,0.648,0.9,130,0.07,0.06,1.3,0.076,0.227,28,0,28,28,,0.0,3100,155,0,,,,,,,0,0,,0.078,0.045,0.289,0,67,"1 cup, chopped",,,39
11637,"RADISHES,WHITE ICICLE,RAW",95.37,14,1.1,0.1,0.8,2.63,1.4,,27,0.8,9,28,280,16,0.13,0.099,0.033,0.7,29,0.03,0.02,0.3,0.184,0.075,14,0,14,14,,0.0,0,0,0,,,,,,,0,0,,0.03,0.016,0.045,0,50,".5 cup, slices",17,"1 radish,  (7"" long)",35
11641,"SQUASH,SMMR,ALL VAR,RAW",94.64,16,1.21,0.18,0.62,3.35,1.1,2.2,15,0.35,17,38,262,2,0.29,0.051,0.175,0.2,17,0.048,0.142,0.487,0.155,0.218,29,0,29,29,6.7,0.0,200,10,0,0,120,0,0,2125,0.12,0,0,3,0.044,0.016,0.089,0,113,"1 cup, sliced",323,1 large,5
11643,"SQUASH,WNTR,ALL VAR,RAW",89.76,34,0.95,0.13,0.57,8.59,1.5,2.2,28,0.58,14,23,350,4,0.21,0.071,0.163,0.4,12.3,0.03,0.062,0.5,0.188,0.156,24,0,24,24,10,0.0,1367,68,0,0,820,0,0,38,0.12,0,0,1.1,0.027,0.01,0.056,0,116,"1 cup, cubes",,,29
11653,"BEANS,PINTO,MATURE SEEDS,SPROUTED,RAW",81.3,62,5.25,0.9,0.95,11.6,,,43,1.97,53,94,307,153,0.5,0.32,0.366,0.6,21.7,0.23,0.175,2.28,0.74,0.171,118,0,118,118,,0.0,2,0,0,,,,,,,0,0,,0.109,0.067,0.523,0,,,,,0
11670,"PEPPERS,HOT CHILI,GRN,RAW",87.74,40,2.0,0.2,0.6,9.46,1.5,5.1,18,1.2,25,46,340,7,0.3,0.174,0.237,0.5,242.5,0.09,0.09,0.95,0.061,0.278,23,0,23,23,11.1,0.0,1179,59,0,23,671,50,0,725,0.69,0,0,14.3,0.021,0.011,0.109,0,45,1 pepper,75,".5 cup, chopped or diced",27
11677,"SHALLOTS,RAW",79.8,72,2.5,0.1,0.8,16.8,3.2,7.87,37,1.2,21,60,334,12,0.4,0.088,0.292,1.2,8,0.06,0.02,0.2,0.29,0.345,34,0,34,34,11.3,0.0,4,0,0,0,3,0,0,8,0.04,0,0,0.8,0.017,0.014,0.039,0,10,"1 tbsp, chopped",,,12
11695,"TOMATOES,ORANGE,RAW",94.78,16,1.16,0.19,0.69,3.18,0.9,,5,0.47,8,29,212,42,0.14,0.062,0.088,0.4,16,0.046,0.034,0.593,0.186,0.06,29,0,29,29,,0.0,1496,75,0,,,,,,,0,0,,0.025,0.028,0.076,0,158,"1 cup, chopped",111,1 tomato,9
11696,"TOMATOES,YELLOW,RAW",95.28,15,0.98,0.26,0.5,2.98,0.7,,11,0.49,12,36,258,23,0.28,0.101,0.12,0.4,9,0.041,0.047,1.179,0.11,0.056,30,0,30,30,,0.0,0,0,0,,,,,,,0,0,,0.036,0.04,0.108,0,139,"1 cup, chopped",212,1 tomato,9
11722,"BEANS,SNAP,YELLOW,RAW",90.27,31,1.82,0.12,0.66,7.13,3.4,3.27,37,1.04,25,38,209,6,0.24,0.069,0.214,0.6,16.3,0.084,0.105,0.752,0.094,0.074,37,0,37,37,15.3,0.0,108,,0,,,,,,0.41,0,0,43.2,0.026,0.005,0.059,0,100,"1 cup, 1/2"" pieces",55,"10 beans,  (4"" long)",12
11741,"BROCCOLI,STALKS,RAW",90.69,28,2.98,0.35,0.92,5.24,,,48,0.88,25,66,325,27,0.4,0.045,0.229,3,93.2,0.065,0.119,0.638,0.535,0.159,71,0,71,71,,0.0,400,20,0,,,,,,,0,0,,0.054,0.024,0.167,0,114,1 stalk,,,0
11749,"CABBAGE,COMMON,FRESHLY HARVEST,RAW",92.52,24,1.21,0.18,0.72,5.37,2.3,,47,0.56,15,23,246,18,0.18,0.023,0.159,0.9,51,0.05,0.03,0.3,0.14,0.095,57,0,57,57,,0.0,126,6,0,,,,,,,0,0,,0.023,0.013,0.087,0,35,".5 cup, shredded",908,1 head,20
11750,"CABBAGE,COMMON (DANISH,DOMESTIC,&POINTED TYPES),STORED,RAW",92.52,24,1.21,0.18,0.72,5.37,2.3,,47,0.56,15,23,246,18,0.18,0.023,0.159,0.9,42,0.05,0.03,0.3,0.14,0.095,57,0,57,57,,0.0,126,6,0,,,,,,,0,0,,0.023,0.013,0.087,0,35,".5 cup, shredded",908,1 head,20
11819,"PEPPERS,HOT CHILI,RED,RAW",88.02,40,1.87,0.44,0.87,8.81,1.5,5.3,14,1.03,23,43,322,9,0.26,0.129,0.187,0.5,143.7,0.072,0.086,1.244,0.201,0.506,23,0,23,23,10.9,0.0,952,48,0,36,534,40,0,709,0.69,0,0,14,0.042,0.024,0.239,0,45,1 pepper,75,".5 cup, chopped or diced",27
11821,"PEPPERS,SWT,RED,RAW",92.21,31,0.99,0.3,0.47,6.03,2.1,4.2,7,0.43,12,26,211,4,0.25,0.017,0.112,0.1,127.7,0.054,0.085,0.979,0.317,0.291,46,0,46,46,5.6,0.0,3131,157,0,20,1624,490,0,51,1.58,0,0,4.9,0.027,0.003,0.07,0,149,"1 cup, chopped",92,"1 cup, sliced",18
11900,"CORN,SWEET,WHITE,RAW",75.96,86,3.22,1.18,0.62,19.02,2.7,3.22,2,0.52,37,89,270,15,0.45,0.054,0.161,0.6,6.8,0.2,0.06,1.7,0.76,0.055,46,0,46,46,,0.0,1,0,0,0,1,0,0,34,0.07,0,0,0.3,0.182,0.347,0.559,0,73,"1 ear,  small (5-1/2"" to 6-1/2"" long)",90,"1 ear,  medium (6-3/4"" to 7-1/2"" long)",64
11951,"PEPPERS,SWEET,YELLOW,RAW",92.02,27,1.0,0.21,0.45,6.32,0.9,,11,0.46,12,24,212,2,0.17,0.107,0.117,0.3,183.5,0.028,0.025,0.89,0.168,0.168,26,0,26,26,,0.0,200,10,0,,120,,,,,0,0,,0.031,,,0,186,"1 pepper,  large (3-3/4"" long, 3"" dia)",52,10 strips,18
11952,"RADICCHIO,RAW",93.14,23,1.43,0.25,0.7,4.48,0.9,0.6,19,0.57,13,40,302,22,0.62,0.341,0.138,0.9,8,0.016,0.028,0.255,0.269,0.057,60,0,60,60,10.9,0.0,27,1,0,0,16,0,0,8832,2.26,0,0,255.2,0.06,0.01,0.11,0,40,"1 cup, shredded",8,1 leaf,9
11954,"TOMATILLOS,RAW",91.63,32,0.96,1.02,0.55,5.84,1.9,3.93,7,0.62,20,39,268,1,0.22,0.079,0.153,0.5,11.7,0.044,0.035,1.85,0.15,0.056,7,0,7,7,7.6,0.0,114,6,0,10,63,0,0,467,0.38,0,0,10.1,0.139,0.155,0.417,0,34,1 medium,66,".5 cup, chopped or diced",
11957,"FENNEL,BULB,RAW",90.21,31,1.24,0.2,1.05,7.3,3.1,3.93,49,0.73,17,50,414,52,0.2,0.066,0.191,0.7,12,0.01,0.032,0.64,0.232,0.047,27,0,27,27,13.2,0.0,963,48,0,0,578,0,0,607,0.58,0,0,62.8,0.09,0.068,0.169,0,87,"1 cup, sliced",234,1 bulb,28
11959,"ARUGULA,RAW",91.71,25,2.58,0.66,1.4,3.65,1.6,2.05,160,1.46,47,52,369,27,0.47,0.076,0.321,0.3,15,0.044,0.086,0.305,0.437,0.073,97,0,97,97,15.3,0.0,2373,119,0,0,1424,0,0,3555,0.43,0,0,108.6,0.086,0.049,0.319,0,2,1 leaf,10,.5 cup,40
11973,"BEANS,FAVA,IN POD,RAW",72.6,88,7.92,0.73,1.12,17.63,7.5,9.21,37,1.55,33,129,332,25,1.0,0.402,0.661,0.8,3.7,0.133,0.29,2.249,0.225,0.104,148,0,148,148,,0.0,333,17,0,0,196,9,0,1811,1.16,0,0,40.9,0.118,0.104,0.342,0,126,1 cup,6.1,1 pod,3
11976,"PEPPER,BANANA,RAW",91.81,27,1.66,0.45,0.73,5.35,3.4,1.95,14,0.46,17,32,256,13,0.25,0.094,0.1,0.3,82.7,0.081,0.054,1.242,0.265,0.357,29,0,29,29,7.4,0.0,340,17,0,39,184,0,0,0,0.69,0,0,9.5,0.048,0.027,0.243,0,124,1 cup,33,"1 small,  (4"" long)",18
11979,"PEPPERS,JALAPENO,RAW",91.69,29,0.91,0.37,0.53,6.5,2.8,4.12,12,0.25,15,26,248,3,0.14,0.046,0.097,0.4,118.6,0.04,0.07,1.28,0.315,0.419,27,0,27,27,7.5,0.0,1078,54,0,67,561,105,0,861,3.58,0,0,18.5,0.092,0.029,0.112,0,90,"1 cup, sliced",14,1 pepper,8
11992,"MUSHROOMS,WHITE,MICROWAVED",88.52,35,3.91,0.46,1.08,6.04,2.5,0,6,0.33,14,127,488,17,0.73,0.37,0.064,18,0,0.06,0.431,5.35,1.96,0.049,16,0,16,16,30.3,0.0,0,0,0,0,0,0,0,0,0,0.3,11,0,0.06,0.02,0.28,0,,,,,0
11993,"MUSHROOMS,MAITAKE,RAW",90.37,31,1.94,0.19,0.53,6.97,2.7,2.07,1,0.3,10,74,204,1,0.75,0.252,0.059,2.2,0,0.146,0.242,6.585,0.27,0.056,21,0,21,21,51.1,0.0,0,0,0,0,0,0,0,0,0.01,28.1,1123,0,0.03,0.03,0.09,0,70,"1 cup, diced",1.1,"1 piece, whole",0
11994,"BROCCOLI,CHINESE,RAW",92.55,30,1.2,0.76,0.83,4.67,2.6,0.88,105,0.59,19,43,274,7,0.41,0.064,,1.4,29.6,0.1,0.153,0.459,,0.074,104,0,104,104,26.5,0.0,1720,86,0,0,1032,0,0,957,0.5,0,0,89.1,0.116,0.053,0.347,0,,,,,12
12012,"SEEDS,HEMP SD,HULLED",4.96,553,31.56,48.75,6.06,8.67,4,1.5,70,7.95,700,1650,1200,5,9.9,1.6,7.6,,0.5,1.275,0.285,9.2,,0.6,110,0,110,110,,,11,1,,,7,,,,0.8,,,,4.6,5.4,38.1,0,30,3 tbsp,,,0
12024,"SESAME SEEDS,WHL,RSTD&TSTD",3.3,565,16.96,48.0,6,25.74,14,,989,14.76,356,638,475,11,7.16,2.47,2.496,34.4,0,0.803,0.251,4.581,0.051,0.802,98,0,98,98,,0.0,9,0,0,,,,,,,0,0,,6.722,18.127,21.039,0,28.35,1 oz,,,0
12061,ALMONDS,4.41,579,21.15,49.93,2.97,21.55,12.5,4.35,269,3.71,270,481,733,1,3.12,1.031,2.179,4.1,0,0.205,1.138,3.618,0.471,0.137,44,0,44,44,52.1,0.0,2,0,0,0,1,0,0,1,25.63,0,0,0,3.802,31.551,12.329,0,143,"1 cup, whole",92,"1 cup, sliced",60
12062,"ALMONDS,BLANCHED",4.51,590,21.4,52.52,2.91,18.67,9.9,4.63,236,3.28,268,481,659,19,2.97,1.027,1.835,3.2,0,0.191,0.711,3.5,0.314,0.115,49,0,49,49,52.1,0.0,7,0,0,0,4,0,0,1,23.75,0,0,0,3.953,33.415,12.368,0,145,"1 cup, whole kernels",9.1,1 tbsp,0
12087,"NUTS,CASHEW NUTS,RAW",5.2,553,18.22,43.85,2.54,30.19,3.3,5.91,37,6.68,292,593,660,12,5.78,2.195,1.655,19.9,0.5,0.423,0.058,1.062,0.864,0.417,25,0,25,25,,0.0,0,0,0,0,0,0,0,22,0.9,0,0,34.1,7.783,23.797,7.845,0,28.35,1 oz,,,
12120,HAZELNUTS OR FILBERTS,5.31,628,14.95,60.75,2.29,16.7,9.7,4.34,114,4.7,163,290,680,0,2.45,1.725,6.175,2.4,6.3,0.643,0.113,1.8,0.918,0.563,113,0,113,113,45.6,0.0,20,1,0,3,11,0,0,92,15.03,0,0,14.2,4.464,45.652,7.92,0,115,"1 cup, chopped",75,"1 cup, ground",59
12121,"HAZELNUTS OR FILBERTS,BLANCHED",5.79,629,13.7,61.15,2.36,17,11,3.49,149,3.3,160,310,658,0,2.2,1.6,12.65,4.1,2,0.475,0.11,1.55,0.815,0.585,78,0,78,78,,0.0,40,2,0,2,23,,,,17.5,0,0,,4.669,48.192,5.558,0,28.35,1 oz,,,0
12131,"MACADAMIA NUTS,RAW",1.36,718,7.91,75.77,1.14,13.82,8.6,4.57,85,3.69,130,188,368,5,1.3,0.756,4.131,3.6,1.2,1.195,0.162,2.473,0.758,0.275,11,0,11,11,,0.0,0,0,0,,,,,,0.54,0,0,,12.061,58.877,1.502,0,134,"1 cup, whole or halves",28.35,"1 oz,  (10-12 kernels)",69
12142,PECANS,3.52,691,9.17,71.97,1.49,13.86,9.6,3.97,70,2.53,121,277,410,0,4.53,1.2,4.5,3.8,1.1,0.66,0.13,1.167,0.863,0.21,22,0,22,22,40.5,0.0,56,3,0,0,29,9,0,17,1.4,0,0,3.5,6.18,40.801,21.614,0,109,"1 cup, chopped",99,"1 cup, halves",47
12151,"PISTACHIO NUTS,RAW",4.37,560,20.16,45.32,2.99,27.17,10.6,7.66,105,3.92,121,490,1025,1,2.2,1.3,1.2,7,5.6,0.87,0.16,1.3,0.52,1.7,51,0,51,51,,0.0,516,26,0,10,305,0,,2903,2.86,0,0,,5.907,23.257,14.38,0,123,1 cup,28.35,"1 oz,  (49 kernels)",47
12155,"WALNUTS,ENGLISH",4.07,654,15.23,65.21,1.78,13.71,6.7,2.61,98,2.91,158,346,441,2,3.09,1.586,3.414,4.9,1.3,0.341,0.15,1.125,0.57,0.537,98,0,98,98,39.2,0.0,20,1,0,0,12,0,0,9,0.7,0,0,2.7,6.126,8.933,47.174,0,117,"1 cup, chopped",80,"1 cup, ground",55
12166,"SESAME BUTTER,TAHINI,FROM RSTD&TSTD KRNLS (MOST COMMON TYPE)",3.05,595,17.0,53.76,5,21.19,9.3,0.49,426,8.95,95,732,414,115,4.62,1.61,1.456,34.4,0,1.22,0.473,5.45,0.693,0.149,98,0,98,98,25.8,0.0,67,3,0,0,40,0,0,0,0.25,0,0,0,7.529,20.302,23.564,0,15,1 tbsp,28.35,1 oz,0
12171,"SESAME BUTTER,TAHINI,FROM UNROASTED KRNLS",3.0,607,17.95,56.44,4.73,17.89,9.3,,141,6.35,353,790,459,1,10.45,1.488,1.457,,0,1.587,0.12,5.644,0.694,0.149,98,0,98,98,,0.0,67,3,0,,,,,,,0,0,,7.904,21.313,24.737,0,14,1 tbsp,28.35,1 oz,0
